,Piscinoodinióza,"Dinoflagellata
( obrněnky )","Piscinoodinium
pillulare
obrněnka","mnoho druhů , zvláště
akvarijních
kůže , žábry","dinospory trofont tomont
23-25 ° C - tvorba dinospor
v tomontu
útlý plůdek
DDg .: ichtyoftirióza ,
ichtyobodóza , trichodinózy ,
chilodonelóza , flavobakteriózy","hyperplasie žab .
epitelu , změny
na kůži ,
světlešedý
sametový
povlak",
,Ichtyoftirióza,"Ciliophora
( nálevníky )","Ichthyophthirius
multifiliis","Všechny druhy
kůže , žábry","hynutí za příznaků dušení
vyšší teplota vody ( 3 - 25-26
28 ° C )
mladé věkové kategorie
trofont tomont s tomity -
theront","bílé tečky na
kůži",
,Chilodonelóza,"Ciliophora
( nálevníky )","Chilodonella
piscicola ,
Chilodonella
hexasticha","Všechny druhy
Zejména plůdek
kůže , žábry","přímý vývoj
nabodávání epidermálních buněk
a b . žaberního epitelu - vysávání
obsahu - hyperplazie -
nźké teploty vody
stres , zimné obdobie","šedavý povlak
na kůži a
žábrách
hypersekrece
hlenu",50 um
,Trichodinózy,"Ciliophora
( nálevníky )","Trichodina ,
Trichodinella ,
Tripartiella","kůže , žábry","nemocné a oslabené obsádky
mikroskopických rozměrů","našedlé zákaly
ploutví , kůže a
žaber",35665
,Kokcidiózy,"Apicomplexa
( výtrusovce )","Goussia carpeli ,
Goussia
subepithelialis ,
Eimeria","kapr obecný , kaprovité
druhy ryb
střevo","Parazitují ve střevě
chronický průběh","nekróza a
odpadávání
epiteliálních
buněk , obsah
střeva s příměsí
krve , dystrofické
změny",
,"Saprolegnióza
= Povrchové
zaplísnění","Oomyceta
( řasovky )","Saprolegnia sp . ,
Achlya sp . ,
Aphanomyces sp .",kůže,"hyfy : vždy bez sept , mnoho
jader , společná cytoplazma
infekce jiker ( velký
ekonomický význam )
Plíseň se uchytí na primárně
poškozeném povrchu !!!","šedavé vatovité
povlaky na
povrchu jiker
nebo ryb",
,Branchiomykóza,"Oomyceta
( řasovky )","Branchiomyces
sanguinis ,
B. demigrans","kaprovití , štika , sumec ,
síhové , pstruh duhový
Žab . cévy","spora - mycelium v žab . cévách
cirkulační poruchy - nekróza
dušení
nad 20 ° C
org . znečištění , malá kyslíkatost
vody
hynou v důsledku dušení a
narušení osmoregulace DDg .: daktylogyrózy ,
sankvinikolóza , TNŽ ,
flavobakterióza žaber","žábry : našedlé
okrsky , nekrotické
okrsky ,
mramorování ,
deformované okraje
žaberních lístků",100 μπ
,"Nodulární
onemocnění žaber","Ameboidní
organismy","Amfizoické améby
nejčastěji rod
Naegleria","pd v intenzivních
chovech","vyšší t vody , málo kyslíku , stres","edematózní
zduření žaber ,
zvýšené
zahlenění , bílé
ložiskové změny
- nekrózy ,
hyperplazie
žaberního epitelu ,
fůze
sekundárních
lamel",
,"Viscerální
granulomatózní
améby","Ameboidní
organismy",rod Endolimax,různé druhy ryb,,"granulomatózní
změny v orgánech",
,Spironukleózy,"Metamonada
( metamonády /
prabičíkovci )","Spironucleus
salmonis ,
S. salmonicida ,
S. vortens","střevo , PP , žlučník a
žlučovody","endokomenzálové
po opuštění hostitele vytváří
cysty , množí se dělením
celosvětově ve sladké i slané
vodě , dvě sady buněčných
organel
Střevní a systémová forma","nažloutlá
tekutina v
trávicím traktu ,
za řitním
otvorem
hlenovitý trus ,
díry na hlavě a
okolo postranní
čáry",
